,Navn,Latitude,Longitude,Lufttemperatur
220,PLATÅBERGET III,78.2278,15.378,[-14.9 -13.3 -14.1 ...  -3.2  -2.7  -2.9]
221,SVELGEN II,61.7707,5.2983,[ 2.1  0.7  0.6 ...  0.2  0.  -0.1]
222,VEIHOLMEN,63.5176,7.9482,[4.3 4.  3.8 ... 3.1 3.1 2.6]
223,MODALEN III,60.859,5.9758,[ 2.3  1.6  1.6 ... -0.1 -0.7 -1.7]
224,HOVDEN - LUNDANE,59.5766,7.3897,[  0.8   1.2  -3.4 ...  -5.5  -4.9 -13.3]
225,SKRIVERBERGET,59.96,10.5315,[ 0.1  0.2  0.1 ... -1.2 -1.  -0.6]
226,MIDTSTOVA,60.6563,7.2755,[-1.9 -2.5 -3.5 ... -6.7 -6.8 -7.3]
227,KLÆBU II,63.3064,10.4657,[ 0.1  0.  -1.2 ... -1.  -0.7 -1.3]
228,VEST-TORPA II,60.9345,10.0358,[-2.6 -2.9 -3.2 ... -7.  -7.6 -8.1]
229,BØ,59.4175,9.0287,[-8.7 -8.9 -9.9 ... -3.8 -4.5 -4. ]
230,HAMMERFEST LUFTHAVN,70.6807,23.6772,[-2.9 -2.1 -2.7 ... -2.2 -2.1 -1.9]
231,ÅSGÅRDSTRAND,59.3563,10.46,[-2.5 -1.1 -1.1 ...  0.4  0.   0.5]
232,NUVSVÅG,70.2368,22.0705,[-2.2 -1.9 -1.7 ...  0.8  1.   0.6]
233,HEMSEDAL II,60.8548588,8.5929429,[ -2.   -2.4  -2.9 ...  -6.6 -10.4 -13.3]
234,GARDERMOEN,60.2065,11.0802,[-3.7 -3.4 -4.4 ... -1.3 -2.1 -2.7]
235,BRUSDALSVATN II,62.4654,6.4013,[1.6 0.8 1.  ... 1.2 1.3 0. ]
236,HASVIK - SLUSKFJELLET,70.607,22.4428,[-5.8 -5.9 -5.7 ... -5.  -4.9 -4.9]
237,TAKLE,61.0272,5.3813,[ 1.7  1.   1.3 ...  0.5 -0.3 -0.2]
238,SØLENDET,62.6793,11.8153,[-3.4 -3.5 -3.6 ... -5.8 -7.3 -8.9]
239,BAKKO I HOL II,60.68108,8.00375,[-0.7 -1.9 -1.8 ... -8.1 -8.8 -8. ]
240,MANNEN,62.4555,7.7703,[ -6.4  -6.6  -7.9 ...  -9.5 -10.1  -9.8]
241,LYNGDAL,58.134,7.0452,[ 3.   2.1  1.5 ... -0.4 -0.1 -0.2]
242,KVALØYSLETTA,69.6988,18.8772,[-3.8 -3.4 -2.4 ...  0.6  0.3 -0.4]
243,GARDERMOEN - SØRØST,60.1705,11.1105,[-3.5 -5.2 -7.1 ...  0.   0.   0. ]
244,ØVRE LEIRBOTN,70.1282,23.6168,[-7.4 -6.7 -4.8 ... -3.2 -3.  -3. ]
245,VENABU,61.6513,10.1082,[ -6.7  -6.6  -8.8 ...  -8.9  -9.2 -10.9]
246,TORP,59.1845,10.2553,[-3.6 -2.  -1.6 ...  0.5  0.7  0.8]
247,SKLINNA FYR,65.2023,10.9965,[1.3 1.3 1.2 ... 2.1 2.2 2.5]
248,ØRSKOG,62.4775,6.8167,[ 0.3  0.1 -0.4 ...  0.1  0.  -0.2]
